grain_type,initial_moisture_content,avg_internal_temp_c,days_since_fill,aeration_status,remaining_safe_storage_days
Barley,12.1,17.06,5,0,253
Wheat,15.88,33.26,103,1,151
Barley,13.07,32.03,110,0,166
Barley,14.54,19.4,177,0,171
Wheat,11.28,29.68,121,1,156
Rice,14.75,15.6,132,1,168
Corn,16.51,24.56,163,0,68
Barley,13.55,28.76,54,0,184
Wheat,14.11,25.24,83,0,189
Wheat,14.31,31.99,148,0,109
Corn,15.76,19.66,178,0,107
Corn,16.18,23.71,47,0,144
Barley,16.53,27.13,143,0,104
Wheat,16.12,27.06,151,0,110
Corn,13.87,25.36,43,1,139
Corn,17.34,17.89,43,1,146
Wheat,16.4,21.03,61,0,193
Corn,16.95,27.57,64,1,108
Wheat,11.84,16.62,147,1,198
Wheat,12.58,19.97,98,1,198
Barley,15.7,30.46,146,1,149
Rice,17.69,15.67,137,1,104
Barley,11.65,27.2,140,0,177
Rice,12.8,28.68,25,1,188
Barley,12.34,15.99,60,0,208
Corn,17.24,18.3,126,1,105
Corn,16.07,33.32,7,1,153
Corn,16.62,28.29,111,0,101
Wheat,12.68,28.99,80,0,181
Barley,17.48,19.44,137,0,140
Rice,16.17,27.71,59,0,129
Wheat,15.95,21.25,142,0,165
Rice,15.99,29.02,20,0,147
Wheat,17.37,25.68,129,0,132
Barley,15.54,31.7,40,1,208
Wheat,12.55,20.19,91,0,159
Rice,12.05,31.42,34,0,157
Wheat,12.74,24.56,70,0,175
Wheat,12.15,29.33,146,0,137
Rice,16.39,29.7,112,1,120
Barley,15.31,29.21,35,1,200
Rice,16.1,25.09,171,0,70
Corn,16.77,31.4,150,0,43
Rice,14.4,19.65,34,1,211
Wheat,11.89,30.35,151,1,172
Rice,16.99,28.75,164,1,73
Corn,12.45,31.17,62,0,123
Barley,11.42,22.11,34,0,224
Barley,17.09,17.95,86,1,212
Corn,13.62,29.33,76,1,149
Barley,12.59,16.2,14,0,260
Barley,16.77,25.45,51,0,144
Barley,13.86,29.12,32,0,197
Wheat,15.82,28.46,103,0,131
Rice,17.75,16.17,37,0,153
Wheat,15.92,29.74,23,0,181
Wheat,12.25,17.12,17,0,223
Wheat,15.38,23.64,50,0,158
Rice,16.05,34.86,22,1,164
Rice,11.3,25.77,57,0,172
Corn,17.6,33.61,36,0,93
Rice,17.17,18.03,83,1,188
Corn,13.46,32.18,161,1,65
Rice,13.96,23.96,8,1,220
Corn,15.72,29.56,55,0,99
Rice,11.28,17.24,128,0,129
Corn,14.43,17.11,83,1,149
Corn,12.7,27.44,151,0,89
Wheat,16.01,32.18,173,0,109
Corn,15.97,30.62,29,1,129
Barley,13.55,34.74,51,0,216
Wheat,15.99,19.87,98,0,145
Rice,16.23,22.7,148,1,131
Rice,16.28,26.81,54,0,136
Corn,14.51,21.47,135,1,145
Barley,14.45,30.41,110,0,172
Corn,11.05,25.6,140,0,109
Wheat,14.72,23.31,100,0,172
Barley,17.56,18.82,13,1,226
Corn,15.09,31.9,128,0,71
Corn,15.86,28.6,42,0,114
Corn,14.3,25.66,53,0,143
Barley,17.43,18.57,66,0,188
Barley,16.85,20.61,14,0,185
Wheat,11.14,23.49,30,1,250
Wheat,13.25,19.9,8,0,233
Wheat,17.22,19.5,69,0,173
Wheat,17.23,29.57,13,0,191
Wheat,15.53,17.68,21,1,250
Barley,17.44,33.97,143,1,126
Rice,15.11,23.12,50,1,185
Rice,14.8,34.29,5,0,167
Rice,11.78,33.11,22,1,209
Wheat,11.11,25.23,63,0,208
Corn,14.0,32.57,138,1,91
Corn,14.51,21.48,142,0,115
Wheat,17.2,15.46,150,0,156
Corn,15.57,29.16,111,0,88
Barley,12.72,27.3,20,1,249
Corn,17.66,20.33,121,0,64
Corn,17.79,21.91,10,0,144
Wheat,12.97,16.93,128,1,182
Barley,12.72,23.75,92,0,199
Barley,12.17,19.65,151,1,210
Barley,12.1,20.14,54,0,218
Wheat,16.53,28.5,100,0,127
Corn,14.01,26.2,138,0,100
Wheat,15.48,30.89,45,1,187
Rice,13.3,21.2,31,1,201
Wheat,17.73,15.66,93,1,193
Barley,15.81,16.64,9,0,231
Wheat,12.9,15.22,71,0,197
Barley,17.21,20.33,32,0,204
Rice,16.79,23.37,79,1,169
Corn,12.74,32.32,35,0,139
Wheat,17.92,17.81,134,0,111
Rice,16.96,16.1,30,1,187
Barley,15.3,34.06,100,1,179
Corn,15.41,28.76,159,0,57
Wheat,14.08,17.42,153,0,155
Corn,14.85,29.08,51,0,108
Wheat,13.46,16.03,77,0,202
Corn,11.33,26.25,160,0,115
Rice,12.26,33.9,113,0,109
Rice,16.36,27.28,87,0,170
Barley,13.91,21.87,90,0,200
Barley,13.94,20.57,78,0,198
Rice,15.8,16.64,30,1,209
Corn,14.83,34.04,176,1,61
Wheat,16.62,31.74,160,1,118
Wheat,15.46,24.16,82,1,169
Wheat,12.63,16.15,172,0,133
Corn,11.44,18.89,22,0,164
Wheat,12.69,21.5,174,0,152
Barley,11.22,30.87,158,0,148
Wheat,14.02,29.53,163,0,105
Corn,14.21,16.7,134,1,149
Barley,15.76,25.62,118,1,168
Wheat,11.06,18.29,68,1,249
Rice,16.55,31.4,102,0,112
Barley,14.57,29.23,125,1,200
Barley,14.97,28.83,143,1,173
Wheat,12.54,25.1,97,0,175
Barley,15.23,18.27,41,0,219
Corn,14.38,29.69,53,0,126
Barley,12.11,30.77,37,0,234
Wheat,13.47,20.18,99,0,182
Corn,17.06,20.33,113,1,120
Barley,13.99,26.11,179,1,161
Rice,14.51,33.64,106,1,124
Corn,17.39,16.1,128,0,99
Rice,12.26,17.18,53,1,218
Wheat,16.63,30.29,47,1,175
Rice,17.22,20.88,144,0,85
Wheat,11.96,21.04,50,0,204
Wheat,14.2,32.33,39,1,213
Wheat,16.68,33.0,10,1,192
Corn,17.06,20.48,44,1,189
Corn,15.09,29.31,102,0,99
Wheat,15.36,27.12,168,0,124
Corn,13.88,28.13,44,0,121
Rice,11.55,24.78,85,0,162
Barley,14.92,15.19,96,1,247
Wheat,11.08,22.76,164,0,156
Corn,17.03,29.84,175,1,65
Barley,11.44,15.84,131,0,181
Barley,16.31,23.61,129,1,175
Rice,13.18,32.04,79,0,149
Corn,17.27,21.57,111,0,75
Wheat,11.14,15.1,74,0,206
Barley,13.92,17.69,161,1,170
Barley,14.71,34.86,71,0,178
Barley,17.5,15.66,34,1,240
Corn,11.4,30.12,13,1,149
Wheat,12.28,29.79,40,1,214
Barley,11.51,25.81,172,0,133
Wheat,12.67,25.18,155,0,150
Wheat,13.04,34.61,173,1,141
Barley,11.53,31.32,102,0,199
Wheat,17.96,16.05,87,0,171
Wheat,16.43,34.93,81,0,149
Corn,16.26,23.49,82,0,96
Barley,11.34,25.88,80,0,191
Corn,11.37,26.4,132,1,149
Rice,14.86,34.62,93,0,143
Barley,16.27,30.61,39,1,224
Rice,17.29,28.43,5,0,152
Barley,15.67,19.23,14,0,230
Rice,17.22,15.81,144,1,146
Rice,16.24,31.51,102,1,112
Rice,12.35,28.62,11,0,172
Barley,13.77,15.4,129,1,239
Rice,15.39,29.64,115,1,122
Rice,17.1,29.22,92,1,137
Rice,16.29,19.03,165,0,99
Corn,17.72,20.28,32,1,141
Corn,11.82,32.76,65,0,100
Corn,15.06,32.17,140,1,78
Barley,17.87,20.03,66,0,162
Corn,17.93,15.68,176,1,86
Rice,12.25,15.56,128,0,139
Corn,12.66,25.66,14,1,184
Corn,13.56,26.17,21,0,159
Corn,15.45,27.57,75,0,120
Barley,13.69,23.25,100,0,194
Rice,15.21,18.42,25,1,201
Corn,13.53,34.54,99,1,110
Corn,15.99,26.37,141,0,90
Rice,14.5,31.39,8,1,176
Rice,16.94,34.38,62,1,129
Corn,17.75,16.48,164,0,72
Barley,12.72,34.74,83,0,162
Barley,13.91,31.51,106,0,141
Corn,17.36,32.36,165,1,43
Barley,17.35,29.13,150,0,128
Rice,15.42,34.11,150,0,62
Rice,12.57,17.38,122,1,199
Corn,17.67,17.09,26,0,125
Wheat,12.49,17.28,23,0,211
Rice,15.08,20.23,97,0,176
Corn,14.3,26.67,119,0,105
Barley,17.48,28.03,111,0,148
Corn,11.31,22.9,170,1,125
Wheat,14.96,25.57,134,0,149
Barley,16.84,24.62,10,0,181
Wheat,16.23,28.43,75,1,179
Wheat,11.73,16.17,16,0,235
Wheat,17.72,33.08,84,0,119
Corn,17.54,20.62,135,0,69
Barley,13.32,33.68,66,1,214
Barley,12.87,28.7,99,0,140
Corn,13.01,28.72,179,0,76
Corn,12.14,34.03,102,0,78
Rice,15.63,25.43,169,0,90
Wheat,11.52,30.94,40,0,171
Barley,11.27,25.98,121,1,199
Barley,14.37,26.42,64,0,211
Barley,15.21,27.28,10,1,230
Corn,17.23,22.0,28,0,133
Barley,17.82,16.94,10,0,176
Barley,17.13,30.73,21,0,186
Rice,11.12,17.7,154,1,150
Rice,11.62,25.06,43,0,179
Wheat,16.82,34.27,81,0,105
Barley,12.39,23.26,78,0,214
Wheat,16.39,18.79,176,0,142
Wheat,12.7,30.09,176,0,128
Corn,13.23,31.47,76,1,159
Barley,11.95,19.41,144,0,170
Wheat,16.98,31.04,40,1,172
Rice,16.06,25.54,167,1,109
Wheat,12.81,18.35,158,0,143
Corn,14.07,24.59,71,0,108
Rice,13.95,31.6,56,0,113
Rice,13.25,29.34,56,0,147
Wheat,17.49,29.19,142,1,130
Rice,11.91,19.83,58,1,220
Barley,14.63,29.93,167,1,146
Barley,15.97,31.94,96,1,165
Wheat,11.87,27.74,124,1,178
Wheat,13.28,23.18,84,1,200
Barley,15.95,16.04,46,0,194
Rice,16.11,15.3,162,1,116
Wheat,14.66,27.35,96,0,168
Corn,17.1,20.03,25,1,172
Rice,11.78,28.55,122,0,121
Rice,17.24,18.25,43,1,161
Wheat,14.76,23.03,130,0,142
Rice,17.39,18.51,167,0,100
Corn,12.0,29.48,18,1,156
Corn,17.39,21.51,71,0,93
Rice,14.68,28.8,28,0,159
Corn,17.35,19.36,9,1,169
Corn,15.01,28.28,91,1,127
Wheat,11.23,17.73,24,1,250
Wheat,17.07,33.27,76,0,128
Barley,12.22,20.39,22,0,249
Barley,13.28,22.82,134,0,156
Rice,12.16,21.02,132,0,139
Corn,16.03,31.08,9,1,171
Wheat,16.22,15.64,52,1,225
Corn,13.66,16.75,169,0,106
Rice,14.74,18.18,112,1,176
Wheat,15.05,24.07,150,0,148
Corn,15.45,18.97,107,0,145
Rice,15.64,15.52,168,0,121
Wheat,11.6,29.18,17,0,189
Corn,12.27,30.63,103,1,100
Barley,13.4,28.98,15,0,220
Corn,11.36,20.12,66,1,184
Wheat,13.25,19.98,121,1,215
Rice,13.94,28.6,36,1,172
Wheat,15.6,16.5,14,1,250
Barley,16.2,31.17,168,0,125
Barley,11.27,22.79,61,1,259
Wheat,11.0,18.73,176,0,146
Barley,16.87,19.1,172,1,141
Barley,16.31,20.64,60,1,233
Barley,13.25,18.28,115,0,184
Wheat,11.49,25.2,58,1,214
Rice,17.45,19.59,74,0,120
Barley,11.3,21.98,102,1,237
Barley,11.98,31.13,134,0,164
Corn,16.25,16.01,50,0,131
Wheat,12.63,23.47,110,1,200
Rice,13.02,21.3,134,1,154
Wheat,14.72,16.63,129,0,165
Rice,15.05,34.14,134,0,83
Wheat,13.67,27.74,43,0,224
Corn,17.84,31.2,13,1,110
Corn,13.28,34.51,146,1,97
Barley,13.22,33.26,172,0,125
Rice,11.46,32.11,112,0,127
Corn,12.0,30.84,43,0,130
Wheat,15.93,30.21,137,0,122
Wheat,15.04,16.29,147,0,167
Corn,17.13,30.35,154,1,52
Wheat,15.73,35.0,169,1,107
Rice,12.34,34.3,52,1,167
Wheat,11.27,23.36,38,1,250
Corn,14.38,31.14,136,1,82
Rice,16.26,31.28,24,0,124
Wheat,16.3,26.53,98,1,167
Wheat,13.19,19.11,97,1,224
Barley,15.11,30.32,165,1,155
Barley,13.25,26.48,58,0,194
Wheat,17.29,19.73,159,0,145
Wheat,11.56,24.65,22,0,186
Corn,13.74,18.12,99,0,149
Barley,16.49,24.77,87,0,172
Rice,12.15,16.49,128,0,155
Corn,16.25,17.56,63,1,159
Rice,11.26,18.86,70,1,195
Corn,13.92,25.03,168,1,101
Wheat,14.33,17.18,150,0,135
Rice,11.27,31.32,56,0,162
Rice,12.2,16.35,114,0,143
Barley,12.96,25.43,158,0,171
Wheat,15.98,26.61,135,1,150
Wheat,15.43,30.05,170,1,139
Wheat,11.02,21.79,45,1,230
Corn,13.44,26.31,35,0,158
Rice,12.37,18.4,131,1,177
Wheat,16.27,29.46,94,0,154
Wheat,15.2,19.37,100,1,199
Rice,11.75,23.37,63,0,155
Rice,13.62,21.73,93,1,168
Corn,17.3,20.14,106,0,134
Barley,16.21,15.49,5,0,235
Barley,13.81,21.88,20,0,202
Barley,11.79,22.34,89,0,177
Barley,11.79,23.54,102,1,222
Barley,16.37,24.64,43,0,197
Corn,17.0,22.71,28,1,152
Corn,14.11,16.78,125,0,120
Barley,17.35,22.12,130,0,126
Rice,16.59,15.03,32,0,174
Rice,11.24,21.85,91,1,177
Rice,15.67,30.64,14,0,135
Rice,16.76,20.01,110,0,137
Wheat,11.94,33.78,135,1,173
Barley,12.45,15.72,33,1,260
Rice,17.9,32.29,112,0,65
Barley,13.27,17.43,42,1,245
Wheat,14.18,29.07,37,0,192
Corn,17.66,17.37,99,0,98
Wheat,16.13,24.19,64,0,168
Corn,11.64,28.24,81,0,115
Corn,14.17,32.96,77,1,126
Barley,17.11,27.88,27,0,170
Corn,14.78,34.53,74,1,113
Rice,11.61,23.4,17,1,220
Corn,17.67,16.97,29,0,125
Wheat,14.66,17.71,68,0,195
Rice,16.84,20.5,108,1,135
Barley,16.85,21.97,23,1,205
Rice,15.94,32.2,67,0,115
Wheat,14.51,23.48,73,1,189
Rice,13.65,30.59,138,1,117
Corn,12.69,27.76,64,1,144
Rice,17.07,31.35,45,0,138
Rice,16.15,27.78,65,0,134
Rice,14.01,22.85,71,1,185
Barley,11.17,21.23,129,0,175
Corn,15.65,23.27,57,1,142
Barley,12.01,32.08,126,1,189
Wheat,11.78,23.17,10,0,232
Corn,14.06,30.49,160,0,71
Barley,15.87,27.58,155,0,147
Wheat,15.21,26.62,156,0,122
Rice,13.3,20.97,131,0,123
Wheat,17.67,30.37,118,0,111
Corn,15.58,34.57,92,0,95
Wheat,15.06,27.65,104,1,186
Corn,11.96,33.02,81,0,92
Barley,12.13,25.77,125,0,174
Wheat,16.87,30.32,108,0,114
Corn,12.41,31.26,96,0,113
Corn,16.56,33.72,46,1,112
Rice,15.77,19.29,94,1,171
Barley,11.58,20.03,76,0,205
Corn,16.15,34.93,8,1,146
Barley,12.38,21.39,51,0,243
Wheat,15.01,33.28,92,0,170
Rice,15.49,25.23,86,0,128
Wheat,13.43,17.3,52,1,226
Wheat,14.38,19.61,66,1,210
Wheat,17.34,26.62,159,1,123
Wheat,16.16,18.18,99,1,186
Barley,11.88,26.07,127,1,210
Corn,14.72,15.91,111,1,173
Barley,14.21,33.63,56,0,192
Barley,17.12,34.06,16,1,160
Corn,12.85,20.61,149,0,109
Wheat,15.04,31.57,65,0,178
Rice,14.54,33.6,17,1,169
Corn,11.18,23.67,149,1,127
Rice,17.13,23.04,120,1,110
Corn,15.59,32.4,36,0,123
Wheat,11.58,23.27,121,1,207
Barley,11.45,16.64,124,1,256
Rice,14.82,32.37,135,0,105
Barley,16.03,18.41,158,1,162
Wheat,15.95,15.63,12,1,250
Barley,13.81,24.07,106,1,166
Corn,13.42,22.11,139,0,99
Barley,11.32,26.93,27,0,248
Rice,17.3,15.99,97,0,106
Corn,13.04,30.23,59,1,185
Rice,15.15,34.03,124,1,112
Wheat,14.11,25.92,67,0,214
Barley,13.28,24.64,133,0,170
Barley,11.58,17.82,60,0,241
Rice,12.84,16.12,175,0,140
Corn,14.69,31.59,82,1,123
Rice,13.51,33.81,143,1,122
Rice,12.57,17.45,162,0,120
Corn,12.08,31.71,162,1,98
Corn,17.06,28.26,6,0,120
Corn,16.23,18.16,163,0,92
Rice,15.65,17.47,57,1,201
Wheat,17.82,22.32,50,1,169
Corn,12.97,31.15,10,1,173
Corn,16.41,27.09,59,0,96
Rice,16.46,23.85,152,0,99
Barley,16.82,27.89,20,1,215
Barley,11.18,16.76,95,1,260
Corn,11.58,31.73,62,1,145
Barley,13.46,34.88,71,1,174
Barley,17.62,28.15,112,1,141
Wheat,12.52,30.66,78,0,179
Barley,15.75,23.28,153,1,194
Wheat,17.66,16.86,74,0,143
Barley,17.01,31.35,123,0,122
Corn,13.15,15.48,31,1,200
Rice,15.47,18.93,9,1,220
Corn,15.39,25.97,37,0,143
Rice,12.33,33.97,126,1,127
Wheat,14.5,19.07,17,0,233
Rice,14.5,18.97,147,0,107
Rice,11.64,31.66,119,0,116
Barley,16.25,32.25,145,1,155
Wheat,15.53,19.56,81,1,220
Rice,16.39,19.6,35,0,193
Rice,15.36,17.79,159,1,140
Wheat,12.83,32.89,171,0,105
Corn,15.18,15.4,135,1,160
Wheat,15.64,23.12,11,0,204
Rice,12.09,23.16,19,0,172
Corn,12.37,21.38,122,0,102
Corn,17.84,28.72,125,0,73
Corn,13.66,23.96,175,0,68
Wheat,11.24,16.38,100,0,151
Wheat,16.98,34.62,147,0,115
Corn,17.52,26.1,105,0,65
Rice,17.88,19.63,172,1,81
Wheat,12.95,30.16,91,1,159
Corn,14.78,28.39,152,0,54
Corn,14.28,15.45,119,1,164
Barley,16.4,18.88,50,0,182
Wheat,17.96,23.12,137,1,146
Barley,14.84,25.53,36,1,227
Barley,12.46,20.42,88,1,229
Barley,17.59,20.45,50,1,229
Corn,13.62,25.87,34,0,134
Rice,15.02,26.95,88,0,120
Wheat,14.23,30.38,127,0,151
Corn,16.34,27.33,125,0,84
Corn,13.69,30.6,123,1,122
Wheat,17.04,28.04,127,1,122
Corn,11.36,26.85,6,0,148
Wheat,13.53,33.47,133,0,149
Barley,15.37,33.19,156,0,106
Barley,17.96,16.95,137,0,143
Barley,15.73,31.18,100,0,150
Corn,14.27,18.17,118,1,165
Wheat,11.95,28.87,115,1,207
Barley,15.44,32.16,89,0,145
Barley,13.07,18.05,148,0,154
Wheat,15.64,33.05,58,0,154
Wheat,11.48,30.95,39,1,207
Rice,12.93,27.11,29,0,162
Rice,11.19,18.91,73,1,198
Wheat,11.29,18.85,77,0,211
Wheat,14.94,23.82,13,0,209
Corn,15.61,26.91,145,0,62
Rice,16.37,34.06,122,0,98
Barley,11.35,22.58,128,1,215
Wheat,11.94,26.23,47,0,210
Rice,12.4,32.77,40,1,146
Corn,17.3,32.51,156,1,65
Barley,14.73,16.61,141,0,171
Rice,17.93,21.8,169,1,86
Wheat,15.21,19.64,66,0,201
Rice,12.41,30.6,126,0,114
Barley,11.75,23.32,121,1,228
Wheat,11.29,17.11,153,0,159
Rice,17.95,29.02,132,1,107
Wheat,11.91,16.91,141,0,163
Corn,17.35,32.87,58,1,72
Barley,12.76,21.78,89,0,192
Wheat,12.9,15.87,142,1,213
Wheat,14.46,29.12,48,0,165
Rice,11.3,29.76,46,0,178
Barley,11.19,27.62,113,1,208
Barley,13.66,32.93,40,1,204
Wheat,16.44,15.43,44,0,206
Rice,12.52,29.18,83,1,165
Rice,12.28,16.27,174,0,120
Corn,11.44,19.52,131,0,127
Rice,11.98,22.65,145,1,160
Wheat,17.14,32.36,141,1,131
Corn,12.84,22.07,44,1,178
Rice,13.19,20.28,47,1,207
Corn,14.22,19.25,100,0,107
Wheat,16.02,18.71,46,0,209
Barley,13.9,23.99,115,1,206
Rice,12.65,19.11,101,1,178
Rice,14.32,17.21,18,0,182
Barley,14.29,28.34,38,0,188
Barley,13.75,25.51,120,0,171
Corn,15.26,23.23,113,0,116
Wheat,11.81,33.1,119,1,163
Wheat,11.98,21.24,173,0,124
Barley,17.89,15.19,132,0,156
Wheat,17.57,21.08,55,0,171
Corn,11.38,34.35,106,0,92
Corn,13.29,22.97,159,1,123
Corn,16.41,32.79,102,1,55
Corn,12.57,29.95,40,0,122
Barley,14.42,18.07,104,1,215
Wheat,11.22,18.32,15,0,218
Wheat,11.18,22.28,130,0,165
Corn,12.15,29.19,130,0,90
Wheat,12.58,28.47,55,0,182
Barley,17.39,16.06,133,0,156
Wheat,16.25,17.46,120,1,168
Rice,15.77,27.75,35,1,209
Barley,13.13,23.4,48,1,245
Corn,17.8,18.21,9,1,138
Wheat,11.41,19.15,132,1,176
Barley,17.37,33.87,67,1,182
Rice,16.73,23.74,59,1,154
Corn,17.49,34.85,122,1,53
Corn,17.68,23.23,139,0,66
Barley,16.54,18.43,159,0,137
Barley,14.74,26.47,67,0,183
Wheat,12.11,23.66,172,1,160
Rice,13.32,31.48,127,1,128
Wheat,14.77,21.02,104,1,201
Barley,16.37,26.26,35,0,161
Corn,15.45,25.17,143,0,102
Corn,15.65,23.83,39,0,134
Barley,12.8,28.45,164,0,134
Wheat,11.06,32.89,92,0,159
Wheat,12.05,31.42,63,0,149
Corn,17.13,33.81,15,0,112
Wheat,13.31,21.17,38,0,196
Corn,14.1,24.89,36,1,156
Rice,15.21,28.98,41,0,117
Barley,17.39,15.6,18,1,201
Wheat,12.29,22.9,44,0,187
Wheat,16.02,31.54,108,0,134
Barley,12.77,19.38,133,1,221
Wheat,14.15,18.43,79,0,191
Barley,12.17,31.73,107,0,149
Corn,12.04,26.61,61,0,128
Wheat,15.47,26.03,8,1,199
Barley,12.5,30.19,155,0,133
Corn,11.06,25.49,145,0,72
Wheat,12.46,15.93,164,0,181
Corn,12.91,15.97,37,1,197
Barley,15.77,33.04,139,0,133
Wheat,15.14,32.96,61,0,146
Corn,14.83,22.88,77,1,158
Rice,17.26,26.55,72,0,114
Wheat,17.7,23.09,27,1,197
Rice,14.0,33.12,125,0,101
Corn,15.51,19.28,163,1,102
Barley,12.71,21.86,167,0,139
Corn,16.63,29.98,155,0,56
Barley,17.52,32.97,5,0,199
Barley,15.59,34.62,64,1,188
Barley,11.84,17.77,177,1,181
Rice,13.69,34.16,108,1,130
Rice,16.88,17.27,173,0,94
Corn,14.5,24.65,92,0,100
Wheat,12.0,32.99,164,1,126
Rice,11.08,25.03,52,1,172
Corn,12.26,32.45,11,1,173
Rice,12.79,15.68,153,0,136
Corn,12.19,26.5,81,1,140
Rice,15.33,33.93,46,0,104
Corn,14.28,22.34,33,1,165
Barley,17.08,19.62,177,1,147
Corn,12.14,23.09,119,0,103
Rice,13.0,30.29,149,1,162
Wheat,12.25,30.18,98,0,170
Wheat,15.06,19.23,105,0,163
Rice,15.33,15.22,21,1,220
Wheat,13.12,17.64,26,1,250
Barley,16.53,31.27,35,0,189
Barley,12.98,28.38,34,1,238
Rice,17.63,34.55,35,0,104
Corn,13.67,32.88,10,0,153
Wheat,15.98,22.45,22,0,212
Barley,13.53,15.57,162,1,204
Rice,17.97,24.28,19,0,154
Rice,15.25,27.75,61,0,127
Corn,17.23,25.67,7,1,123
Corn,15.76,22.03,85,1,140
Corn,14.99,15.51,74,1,176
Corn,16.35,16.44,89,0,120
Rice,12.76,30.73,133,0,110
Rice,13.02,20.66,139,1,175
Wheat,12.45,29.87,14,0,163
Barley,17.8,29.51,171,0,85
Corn,15.58,20.93,109,1,139
Corn,11.71,18.07,124,0,114
Rice,12.99,28.54,49,1,185
Wheat,14.46,34.26,46,1,192
Rice,14.87,19.53,54,1,204
Wheat,17.43,19.53,119,1,186
Corn,11.3,34.26,151,0,82
Wheat,11.78,15.44,28,0,218
Wheat,13.28,23.38,143,0,188
Rice,11.37,20.58,12,1,214
Rice,15.35,34.65,17,0,157
Corn,17.79,16.38,122,1,99
Rice,12.12,27.99,82,0,148
Corn,15.66,23.51,59,0,125
Barley,17.6,29.25,27,1,216
Corn,15.35,26.46,118,0,75
Rice,15.02,26.63,152,0,101
Corn,17.62,19.21,174,0,38
Barley,14.94,25.29,94,0,173
Wheat,15.08,18.49,77,0,187
Barley,13.51,33.72,176,0,125
Wheat,17.9,18.92,171,0,99
Wheat,13.42,29.23,31,0,176
Corn,16.64,18.14,55,0,173
Rice,17.31,26.89,136,1,91
Wheat,11.81,16.94,145,1,242
Barley,15.85,21.29,89,1,219
Wheat,13.04,33.87,129,1,157
Corn,14.83,34.11,106,1,108
Wheat,14.01,19.15,100,0,185
Rice,12.14,29.63,67,0,132
Barley,14.63,34.91,76,0,188
Rice,13.85,33.34,141,1,102
Rice,14.46,27.02,54,0,143
Rice,13.61,28.55,177,0,71
Corn,17.94,29.97,9,1,116
Wheat,15.35,25.82,165,1,159
Wheat,14.83,31.89,110,1,195
Wheat,17.76,23.46,22,0,185
Rice,12.58,18.53,127,1,172
Rice,11.71,30.64,122,0,98
Barley,11.3,23.78,72,0,176
Corn,14.07,26.89,17,0,136
Wheat,17.3,19.89,170,0,103
Rice,15.17,18.74,40,0,171
Corn,17.2,33.9,137,0,62
Barley,16.32,25.66,106,0,155
Barley,16.13,33.37,161,0,115
Wheat,14.18,17.86,144,1,177
Barley,16.49,19.1,18,0,232
Barley,12.4,22.73,127,0,186
Rice,12.34,24.07,17,0,195
Barley,12.83,22.04,176,0,144
Barley,12.67,30.89,100,1,198
Rice,15.29,31.13,38,0,138
Rice,11.35,27.83,90,0,133
Wheat,17.49,29.21,103,0,139
Wheat,16.78,31.01,87,0,114
Wheat,15.44,27.0,53,0,173
Wheat,15.17,24.61,26,1,204
Corn,16.67,18.28,28,0,130
Barley,13.7,20.4,119,0,188
Barley,15.6,15.8,36,0,213
Rice,11.52,33.28,37,1,156
Wheat,11.18,31.3,136,0,140
Barley,13.95,29.87,14,1,259
Rice,16.13,29.83,66,0,143
Wheat,11.85,16.68,108,0,180
Wheat,11.51,31.67,150,1,179
Rice,17.53,30.43,101,1,88
Corn,11.29,28.53,76,0,76
Wheat,15.55,19.72,151,0,141
Corn,14.16,30.2,162,0,62
Wheat,11.66,22.79,111,1,204
Corn,16.94,26.64,176,1,72
Corn,12.64,25.82,135,0,68
Wheat,17.89,31.84,17,0,159
Barley,13.77,23.25,61,1,239
Barley,16.72,18.92,176,0,137
Wheat,17.87,23.33,176,0,85
Wheat,16.41,30.26,32,0,153
Wheat,17.51,15.86,84,0,181
Wheat,15.8,33.84,32,0,155
Barley,11.64,28.43,104,0,208
Corn,11.22,17.64,104,1,184
Corn,11.51,29.22,53,1,125
Wheat,15.53,25.58,129,0,133
Corn,16.38,20.49,24,0,158
Barley,17.84,26.25,130,0,126
Wheat,15.56,31.11,37,0,172
Rice,11.42,27.09,129,1,185
Rice,16.47,27.84,132,1,124
Barley,17.67,21.56,127,1,166
Barley,13.83,31.56,134,0,170
Wheat,15.72,18.59,71,1,228
Barley,16.3,17.01,167,0,136
Wheat,14.47,16.81,115,1,204
Rice,14.85,18.1,27,0,159
Rice,11.38,20.09,98,0,141
Wheat,15.87,25.88,145,0,135
Rice,17.19,23.23,80,0,131
Barley,12.7,16.55,29,1,260
Barley,15.1,32.82,40,1,201
Barley,14.31,34.16,143,0,148
Wheat,11.76,28.51,36,0,188
Corn,15.69,25.98,75,0,116
Wheat,12.68,28.74,7,1,212
Rice,14.35,28.01,31,0,165
Barley,17.57,22.29,166,1,133
Rice,14.72,29.41,17,1,183
Rice,17.01,21.48,167,0,98
Barley,15.3,26.05,157,1,146
Barley,12.89,18.29,69,0,196
Corn,17.3,26.1,49,0,131
Corn,13.21,34.67,44,0,126
Wheat,15.52,15.64,60,0,183
Wheat,14.86,33.34,121,0,148
Corn,14.52,30.52,167,1,93
Corn,13.69,30.64,87,0,101
Rice,12.99,30.73,65,0,135
Barley,16.39,19.75,78,1,207
Barley,11.07,26.29,69,0,183
Barley,15.88,23.4,9,0,200
Wheat,17.97,31.51,169,1,96
Corn,13.9,33.54,114,0,79
Corn,14.8,29.86,74,1,126
